Timestamp,FRIO,ESCL,BALO,POLI,CARR,COLE,ARMA,PUER,AVIO,SATR,SADE,FOTO,BUSE,FILA,ALTO
,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,1.50
,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,1.52
,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,No,Si,Si,No,1.80
,Si,Si,No,Si,No,No,Si,No,Si,No,No,No,Si,Si,1.66
,Si,No,Si,Si,No,Si,Si,No,Si,Si,No,Si,No,Si,1.63
,No,No,No,Si,No,Si,No,No,Si,No,No,No,No,No,1.47
,No,Si,No,Si,No,Si,Si,No,No,No,No,No,No,No,1.59
,Si,Si,No,Si,No,No,No,No,No,No,No,Si,No,No,1.56
,Si,No,No,No,Si,No,Si,No,No,No,Si,No,No,No,1.55
,Si,Si,No,No,Si,No,No,No,No,Si,No,No,Si,No,1.61
,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,1.56
,No,Si,Si,No,No,Si,No,No,Si,No,No,No,No,No,1.55
,Si,Si,No,No,No,No,No,No,No,No,Si,No,No,No,1.49
,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,No,No,Si,Si,1.75
